,Lde1EKFoldCorrectionX,Lde1EKFoldCorrectionY,Lde1EKFoldCorrectionZ,Lde1EKFnewCorrectionX,Lde1EKFnewCorrectionY,Lde1EKFnewCorrectionZ
6457,0.6093635057539569,-0.3176982043691461,0.4136269087574946,0.6149245674689975,-0.3403011853543218,0.3736549910948395
6458,0.6100994225984141,-0.314322084240375,0.414782413059637,0.6166675856273691,-0.3382830302076055,0.3749764468766903
6459,0.6107735653142118,-0.3108749460775676,0.4144237677156851,0.618253969806581,-0.3361879969514372,0.37479175210401183
6460,0.6138509367319789,-0.3071776460477483,0.4146334581888156,0.6222035677058486,-0.3338395212137973,0.37524163681194544
6461,0.6161279956216106,-0.30425315592349245,0.41343237298071217,0.6254016320294373,-0.3322955946124369,0.37445094070162716
6462,0.6187225363511659,-0.3019751816407957,0.4136910189666046,0.628912834038339,-0.33146525187881376,0.37523664195825446
6463,0.621694350172406,-0.2983323668447825,0.41444054087168863,0.6327874151997923,-0.3292261956948691,0.37633134823611103
6464,0.6274443197810923,-0.29708046149166095,0.41540707782719954,0.6388638704292499,-0.327521397180571,0.3786383504343077
6465,0.6336075994424334,-0.29630809511973777,0.416031424008545,0.6453436366253728,-0.32616316917852545,0.3805896313287113
6466,0.6390163553085182,-0.29526101941695404,0.4168059665231699,0.6511163071854872,-0.3245404412596907,0.3826962602430101
6467,0.644285651766715,-0.29440175369710897,0.4172711239451435,0.6565684661765421,-0.3231469938473243,0.38470497904204964
6468,0.6475485122993423,-0.29357751698566814,0.41538759742347864,0.6599414395892607,-0.32173420976594014,0.3843103895532152
6469,0.6480174676336693,-0.29280473118586714,0.4130434840615333,0.6605330354523195,-0.32038592070874494,0.383499136783937
6470,0.6480482555642026,-0.29266011896007393,0.4109286583491747,0.6607311985478325,-0.3195345119603555,0.38311125671141144
6471,0.6501352437609722,-0.29144521363047643,0.4084891678116947,0.6629027212209588,-0.31754486795048337,0.3824316970661703
6472,0.6514801064035018,-0.2911074963751712,0.4046395954216098,0.6643832621618819,-0.31651686168145393,0.3804095248558576
6473,0.6515794572214454,-0.2910240059157728,0.3997616435250633,0.6646219096684682,-0.3157299168119099,0.3773454251741366
6474,0.6530568940677799,-0.28969779806073664,0.39648720426093464,0.6662366353142412,-0.31371226487025866,0.37583696727632876
6475,0.6604956226529793,-0.2867293088858231,0.3923140152254015,0.6739954661454227,-0.30997036380699616,0.37382274635133733
6476,0.6665402374505328,-0.2866056144367073,0.38866784080554845,0.6800982660289061,-0.30895449261581087,0.37242306796948516
6477,0.6729560666529542,-0.28593583265730943,0.3870118902124279,0.6865333548937315,-0.3074070492359487,0.3730428401686467
6478,0.6787883300238889,-0.28478492236576325,0.38530292944537037,0.6923278273188249,-0.30539442014699025,0.37363775917963926
6479,0.6749914834129966,-0.2848814016900032,0.37345157597144574,0.6885445171931109,-0.30401114621688274,0.3632900872275788
6480,0.6757765167280968,-0.28638985463266314,0.36676102604061894,0.6893456487273556,-0.3047797409492528,0.3572916208829122
6481,0.6785805654642871,-0.2861358403507111,0.3622740819674495,0.6921608336828227,-0.3037539937293621,0.3534485985996994
6482,0.6814091108935607,-0.28565692769036044,0.3570638792084207,0.6950715500504039,-0.3024414860004368,0.3489619305143969
6483,0.6849777178383278,-0.2850361753259898,0.3515105190479434,0.6986131743481925,-0.30096980025447184,0.3440091495806935
6484,0.6909469170696331,-0.2857959853453405,0.34693319449193266,0.7045598715331477,-0.3009632412842352,0.34008460701017357
6485,0.6956233271166765,-0.2886485708553964,0.35129041555553236,0.7091826987620632,-0.3029737606724693,0.34526720794703153
6486,0.7009771103615585,-0.29120066702102076,0.35461432268925414,0.7145388746118727,-0.3046631313343184,0.3493017344403478
6487,0.7065044764655842,-0.2935170385255188,0.35642586604699267,0.7200121219946084,-0.3061037615749246,0.3517335852694913
6488,0.7120884489539726,-0.29563515044847055,0.3546359936292784,0.7255235735139492,-0.30732334206982204,0.35060696625139154
6489,0.7168622167777183,-0.29732689409039587,0.35174224579930913,0.7301536693450756,-0.3081395961155133,0.3484239937745362
6490,0.718782577056262,-0.2987058567814048,0.3498303765163097,0.7319449920658319,-0.30865786492061437,0.3471390101349146
6491,0.7269901437546408,-0.2987965134785623,0.35110767317114594,0.7401180605665851,-0.307647678520738,0.3492209760082751
6492,0.7344351851709304,-0.29955013583084894,0.3498906698334908,0.7474123170242591,-0.30744774098654243,0.3483776466907148
6493,0.7410371510387909,-0.30020350679443003,0.3485530319474749,0.7545172313812353,-0.30763108384494975,0.3477650034645414
6494,0.7464564264519541,-0.30022762095662237,0.34875658348870064,0.7604448662378536,-0.30717017006150116,0.3487187769277625
6495,0.7534404259778901,-0.2989425121703436,0.347817414067727,0.7679415215120542,-0.30538751822772725,0.348539919759623
6496,0.758866384411308,-0.29782212646581036,0.34299862455663405,0.7738494149592415,-0.30372917312578934,0.3443911112006454
