,Lde1EKFoldCorrectionX,Lde1EKFoldCorrectionY,Lde1EKFoldCorrectionZ,Lde1EKFnewCorrectionX,Lde1EKFnewCorrectionY,Lde1EKFnewCorrectionZ
80,0.09459555315795101,-0.7017045218726693,0.13402643703597017,0.09459555315795101,-0.7017045218726693,0.13402643703597017
81,0.09157913649588154,-0.7115724012777805,0.1364367806911159,0.09157913649588154,-0.7115724012777805,0.1364367806911159
82,0.09105077677388897,-0.7204652691038546,0.1375330320768291,0.09105077677388897,-0.7204652691038546,0.1375330320768291
83,0.08989216456372484,-0.7288924581510433,0.13952234786705642,0.08989216456372484,-0.7288924581510433,0.13952234786705642
84,0.08803857485421819,-0.737623478779867,0.13793061286392022,0.08803857485421819,-0.737623478779867,0.13793061286392022
85,0.08568474378525065,-0.7468237491135231,0.13842548766311707,0.08568474378525065,-0.7468237491135231,0.13842548766311707
86,0.08273554382273283,-0.756498695733061,0.13936793045011991,0.08273554382273283,-0.756498695733061,0.13936793045011991
87,0.07965905068706834,-0.7650481542055474,0.14134732149330712,0.07965905068706834,-0.7650481542055474,0.14134732149330712
88,0.07821975748077087,-0.7729624909585981,0.14212213068669996,0.07821975748077087,-0.7729624909585981,0.14212213068669996
89,0.07533005320537489,-0.7823782482638295,0.14347527802767288,0.07533005320537489,-0.7823782482638295,0.14347527802767288
90,0.07282100684901037,-0.7915055137320393,0.14499882946902906,0.07282100684901037,-0.7915055137320393,0.14499882946902906
91,0.06945504686339335,-0.8010024694737862,0.1508326254675877,0.06945504686339335,-0.8010024694737862,0.1508326254675877
92,0.06620907255478725,-0.8110861593505345,0.153628427867187,0.06620907255478725,-0.8110861593505345,0.153628427867187
93,0.0635068418907072,-0.8164788820696653,0.1582407354973311,0.0635068418907072,-0.8164788820696653,0.1582407354973311
94,0.0627457807454738,-0.8224351664069012,0.16391124580161012,0.0627457807454738,-0.8224351664069012,0.16391124580161012
95,0.06102849547557083,-0.8273080056271466,0.16663208314789563,0.06102849547557083,-0.8273080056271466,0.16663208314789563
96,0.060019969732208134,-0.8307554460454563,0.17247657726524146,0.060019969732208134,-0.8307554460454563,0.17247657726524146
97,0.056357309401854495,-0.8360560269865958,0.17731994832562023,0.056357309401854495,-0.8360560269865958,0.17731994832562023
98,0.05419717092613636,-0.8408097535512872,0.1812112385107079,0.05419717092613636,-0.8408097535512872,0.1812112385107079
99,0.05435561262875665,-0.8467279850636196,0.18409360373205585,0.05435561262875665,-0.8467279850636196,0.18409360373205585
100,0.054153512539138984,-0.8527707362037827,0.18684228293558308,0.054153512539138984,-0.8527707362037827,0.18684228293558308
101,0.05365374317558623,-0.8589508942572265,0.19139926086340783,0.05365374317558623,-0.8589508942572265,0.19139926086340783
102,0.05168695359340906,-0.864061573787529,0.1951074507449939,0.05168695359340906,-0.864061573787529,0.1951074507449939
103,0.04888809635172345,-0.8686407049556406,0.20021798785516762,0.04888809635172345,-0.8686407049556406,0.20021798785516762
104,0.04758443927231865,-0.873432564357067,0.20444210913502905,0.04758443927231865,-0.873432564357067,0.20444210913502905
105,0.04510184656884279,-0.8782057286380746,0.20737213109614464,0.04510184656884279,-0.8782057286380746,0.20737213109614464
106,0.04468346329953929,-0.8830837900091505,0.20998593958901438,0.04468346329953929,-0.8830837900091505,0.20998593958901438
107,0.043113536078502206,-0.88820484453705,0.2133929077840378,0.043113536078502206,-0.88820484453705,0.2133929077840378
108,0.04244800920535285,-0.8937918388025038,0.2160349333177657,0.04244800920535285,-0.8937918388025038,0.2160349333177657
109,0.04314503341419876,-0.9006002425113419,0.21658892634225266,0.04314503341419876,-0.9006002425113419,0.21658892634225266
110,0.04208735968487384,-0.9061093674898604,0.21595370508673803,0.04208735968487384,-0.9061093674898604,0.21595370508673803
111,0.040497957126211584,-0.9113627189800594,0.21853506589528107,0.040497957126211584,-0.9113627189800594,0.21853506589528107
112,0.04016161810416015,-0.9172890768557443,0.21979240589900123,0.04016161810416015,-0.9172890768557443,0.21979240589900123
113,0.03962067996264413,-0.9237734005011399,0.2202605747589039,0.03962067996264413,-0.9237734005011399,0.2202605747589039
114,0.04048992977574799,-0.9299120424639926,0.22076634134789425,0.04048992977574799,-0.9299120424639926,0.22076634134789425
115,0.042066957377444834,-0.9365792471762602,0.2230298466325165,0.042066957377444834,-0.9365792471762602,0.2230298466325165
116,0.04346653577400032,-0.9424868916500909,0.2257431502857892,0.04346653577400032,-0.9424868916500909,0.2257431502857892
117,0.04557435689159903,-0.9485442463550462,0.22650859061307668,0.04557435689159903,-0.9485442463550462,0.22650859061307668
118,0.04745716679417616,-0.9543970245075405,0.2261786972252233,0.04745716679417616,-0.9543970245075405,0.2261786972252233
119,0.04967343329483676,-0.9599383771112094,0.22650630459362087,0.04967343329483676,-0.9599383771112094,0.22650630459362087
120,0.05077919357032492,-0.9657737147897001,0.22641030524170652,0.05077919357032492,-0.9657737147897001,0.22641030524170652
121,0.05106112343959786,-0.9712408011250673,0.22729598896247644,0.05106112343959786,-0.9712408011250673,0.22729598896247644
122,0.05512620606825898,-0.9922117291788838,0.2306787664107645,0.05512620606825898,-0.9922117291788838,0.2306787664107645
123,0.057347919908507745,-1.0137925419195961,0.22628680397256148,0.057347919908507745,-1.0137925419195961,0.22628680397256148
124,0.057655839948444185,-1.0187699143257218,0.2243086717552937,0.057655839948444185,-1.0187699143257218,0.2243086717552937
125,0.05811537007950883,-1.0246275703713876,0.22434767197137578,0.05811537007950883,-1.0246275703713876,0.22434767197137578
126,0.05835729585682067,-1.0304771230641705,0.2235654134779391,0.05835729585682067,-1.0304771230641705,0.2235654134779391
127,0.05712630650147868,-1.0370171665993304,0.22047078599015654,0.05712630650147868,-1.0370171665993304,0.22047078599015654
128,0.057165199789471675,-1.0419729140712757,0.21880090245783174,0.057165199789471675,-1.0419729140712757,0.21880090245783174
129,0.05722813215910283,-1.047549691356825,0.21838130478485798,0.05722813215910283,-1.047549691356825,0.21838130478485798
130,0.05657858369141697,-1.0530954640829107,0.21611529272727129,0.05657858369141697,-1.0530954640829107,0.21611529272727129
131,0.057143908172204036,-1.059236965166062,0.21302903448312313,0.057143908172204036,-1.059236965166062,0.21302903448312313
132,0.05869708839702035,-1.0644737268384448,0.21218081987680698,0.05869708839702035,-1.0644737268384448,0.21218081987680698
