Time,Time_ubisense,txeui,seq,X,Y,Z
1510928782.549,1510928783.2642254829,1,183448,0.198,-1.391,0.500,
1510928782.589,1510928783.2912271023,1,183449,0.185,-1.414,0.500,
1510928782.609,1510928783.3162283897,1,183450,0.181,-1.430,0.500,
1510928782.639,1510928783.3412299156,1,183451,0.175,-1.447,0.500,
1510928782.659,1510928783.3662314415,1,183452,0.191,-1.439,0.500,
1510928782.689,1510928783.3912327290,1,183453,0.205,-1.437,0.500,
1510928782.709,1510928783.4162342548,1,183454,0.214,-1.445,0.500,
1510928782.729,1510928783.4412355423,1,183455,0.230,-1.441,0.500,
1510928782.759,1510928783.4662370682,1,183456,0.233,-1.454,0.500,
1510928782.779,1510928783.4912385941,1,183457,0.234,-1.461,0.500,
1510928782.809,1510928783.5172400475,1,183458,0.247,-1.460,0.500,
1510928782.829,1510928783.5412414074,1,183459,0.238,-1.477,0.500,
1510928782.859,1510928783.5662426949,1,183460,0.252,-1.476,0.500,
1510928782.878,1510928783.5912442207,1,183461,0.266,-1.473,0.500,
1510928782.908,1510928783.6162455082,1,183462,0.255,-1.488,0.500,
1510928782.929,1510928783.6412470341,1,183463,0.261,-1.489,0.500,
1510928782.959,1510928783.6662485600,1,183464,0.247,-1.505,0.500,
1510928782.979,1510928783.6902499199,1,183465,0.240,-1.523,0.500,
1510928783.009,1510928783.7162513733,1,183466,0.243,-1.529,0.500,
1510928783.029,1510928783.7402527332,1,183467,0.245,-1.539,0.500,
1510928783.059,1510928783.7662544250,1,183468,0.240,-1.546,0.500,
1510928783.079,1510928783.7922556400,1,183469,0.237,-1.551,0.500,
1510928783.109,1510928783.8162572384,1,183470,0.246,-1.540,0.500,
1510928783.128,1510928783.8412585258,1,183471,0.248,-1.544,0.500,
1510928783.159,1510928783.8662598133,1,183472,0.246,-1.551,0.500,
1510928783.179,1510928783.8912613392,1,183473,0.244,-1.555,0.500,
1510928783.209,1510928783.9152626991,1,183474,0.247,-1.548,0.500,
1510928783.229,1510928783.9392640591,1,183475,0.252,-1.549,0.500,
1510928783.259,1510928783.9652655125,1,183476,0.256,-1.546,0.500,
1510928783.279,1510928783.9902670383,1,183477,0.260,-1.545,0.500,
1510928783.299,1510928784.0152683258,1,183478,0.275,-1.550,0.500,
1510928783.329,1510928784.0402698517,1,183479,0.278,-1.549,0.500,
1510928783.369,1510928784.0662713051,1,183480,0.300,-1.561,0.500,
1510928783.379,1510928784.0912728310,1,183481,0.313,-1.555,0.500,
1510928783.409,1510928784.1162743568,1,183482,0.323,-1.551,0.500,
1510928783.429,1510928784.1412756443,1,183483,0.324,-1.555,0.497,
1510928783.459,1510928784.1652772427,1,183484,0.338,-1.554,0.495,
1510928783.478,1510928784.1922786236,1,183485,0.360,-1.550,0.494,
1510928783.498,1510928784.2082796097,1,183486,0.367,-1.549,0.493,
1510928783.509,1510928784.2132799625,1,183487,0.376,-1.552,0.496,
1510928783.528,1510928784.2452814579,1,183488,0.387,-1.551,0.497,
1510928783.559,1510928784.2722830772,1,183489,0.406,-1.547,0.500,
1510928783.609,1510928784.3212859631,1,183490,0.425,-1.552,0.500,
1510928783.639,1510928784.3462874889,1,183491,0.442,-1.540,0.500,
1510928783.669,1510928784.3712887764,1,183492,0.458,-1.538,0.500,
1510928783.689,1510928784.3952903748,1,183493,0.484,-1.531,0.500,
1510928783.709,1510928784.4212918282,1,183494,0.511,-1.546,0.500,
1510928783.739,1510928784.4462931156,1,183495,0.530,-1.539,0.500,
1510928783.759,1510928784.4722948074,1,183496,0.548,-1.538,0.500,
1510928783.789,1510928784.4962959290,1,183497,0.570,-1.549,0.500,
1510928783.809,1510928784.5212974548,1,183498,0.600,-1.566,0.500,
1510928783.829,1510928784.5382983685,1,183499,0.622,-1.558,0.500,
1510928783.859,1510928784.5683002472,1,183500,0.622,-1.558,0.500,
1510928783.889,1510928784.5953016281,1,183501,0.631,-1.559,0.500,
1510928783.908,1510928784.6203031540,1,183502,0.641,-1.553,0.500,
1510928783.939,1510928784.6453044415,1,183503,0.654,-1.534,0.500,
1510928783.959,1510928784.6703059673,1,183504,0.666,-1.526,0.500,
1510928783.979,1510928784.6953072548,1,183505,0.674,-1.516,0.500,
1510928784.009,1510928784.7213087082,1,183506,0.721,-1.519,0.500,
1510928784.039,1510928784.7463102341,1,183507,0.763,-1.546,0.500,
1510928784.068,1510928784.7693114281,1,183508,0.800,-1.565,0.500,
1510928784.089,1510928784.7963130474,1,183509,0.836,-1.585,0.500,
1510928784.109,1510928784.8193142414,1,183510,0.847,-1.582,0.500,
1510928784.139,1510928784.8453159332,1,183511,0.870,-1.588,0.500,
1510928784.159,1510928784.8723175526,1,183512,0.880,-1.588,0.500,
1510928784.179,1510928784.8953187466,1,183513,0.911,-1.565,0.500,
1510928784.209,1510928784.9213204384,1,183514,0.928,-1.569,0.500,
1510928784.228,1510928784.9453215599,1,183515,0.944,-1.578,0.500,
1510928784.268,1510928784.9703230858,1,183516,0.959,-1.579,0.500,
1510928784.289,1510928784.9963245392,1,183517,0.968,-1.578,0.500,
1510928784.309,1510928785.0203258991,1,183518,0.988,-1.583,0.500,
1510928784.339,1510928785.0453274250,1,183519,1.015,-1.564,0.500,
1510928784.359,1510928785.0703287125,1,183520,0.942,-1.586,0.434,
1510928784.378,1510928785.0953302383,1,183521,0.973,-1.571,0.432,
1510928784.409,1510928785.1203315258,1,183522,0.995,-1.578,0.441,
1510928784.429,1510928785.1453330517,1,183523,1.021,-1.563,0.447,
1510928784.459,1510928785.1713347435,1,183524,1.038,-1.569,0.455,
1510928784.489,1510928785.1953358650,1,183525,1.051,-1.572,0.462,
1510928784.509,1510928785.2213375568,1,183526,1.084,-1.551,0.471,
1510928784.529,1510928785.2453386784,1,183527,1.102,-1.538,0.485,
1510928784.559,1510928785.2723402977,1,183528,1.128,-1.529,0.496,
1510928784.588,1510928785.2953414917,1,183529,1.142,-1.521,0.500,
1510928784.609,1510928785.3203430176,1,183530,1.112,-1.564,0.454,
1510928784.628,1510928785.3453445435,1,183531,1.136,-1.570,0.460,
1510928784.669,1510928785.3713459969,1,183532,1.165,-1.557,0.466,
1510928784.679,1510928785.3953475952,1,183533,1.189,-1.565,0.478,
1510928784.709,1510928785.4213490486,1,183534,1.229,-1.542,0.491,
1510928784.729,1510928785.4443502426,1,183535,1.229,-1.542,0.491,
1510928784.759,1510928785.4703516960,1,183536,1.248,-1.547,0.498,
1510928784.789,1510928785.4963531494,1,183537,1.276,-1.528,0.500,
1510928784.809,1510928785.5203545094,1,183538,1.304,-1.537,0.500,
1510928784.839,1510928785.5453560352,1,183539,1.322,-1.545,0.500,
1510928784.859,1510928785.5703575611,1,183540,1.364,-1.554,0.500,
1510928784.878,1510928785.5873582363,1,183541,1.383,-1.553,0.500,
1510928784.908,1510928785.6203603745,1,183542,1.400,-1.546,0.500,
1510928784.929,1510928785.6453616619,1,183543,1.418,-1.535,0.500,
1510928784.959,1510928785.6703631878,1,183544,1.461,-1.546,0.500,
1510928784.989,1510928785.6953644753,1,183545,1.487,-1.517,0.500,
1510928785.009,1510928785.7203660011,1,183546,1.494,-1.504,0.500,
1510928785.040,1510928785.7453675270,1,183547,1.503,-1.487,0.500,
1510928785.060,1510928785.7703688145,1,183548,1.520,-1.480,0.500,
1510928785.080,1510928785.7963702679,1,183549,1.565,-1.505,0.500,
1510928785.110,1510928785.8183715343,1,183550,1.600,-1.521,0.500,
1510928785.130,1510928785.8453731537,1,183551,1.631,-1.530,0.500,
1510928785.170,1510928785.8713748455,1,183552,1.656,-1.537,0.500,
1510928785.180,1510928785.8953759670,1,183553,1.665,-1.520,0.500,
1510928785.210,1510928785.9203774929,1,183554,1.688,-1.517,0.500,
1510928785.230,1510928785.9463789463,1,183555,1.719,-1.517,0.500,
1510928785.260,1510928785.9703803062,1,183556,1.746,-1.510,0.500,
1510928785.280,1510928785.9963817596,1,183557,1.764,-1.498,0.500,
1510928785.310,1510928786.0203831196,1,183558,1.790,-1.490,0.500,
1510928785.330,1510928786.0443844795,1,183559,1.799,-1.479,0.500,
1510928785.360,1510928786.0703859329,1,183560,1.876,-1.657,0.500,
1510928785.380,1510928786.0943872929,1,183561,1.860,-1.642,0.464,
1510928785.409,1510928786.1203887463,1,183562,1.853,-1.606,0.423,
1510928785.439,1510928786.1453902721,1,183563,1.845,-1.571,0.400,
1510928785.460,1510928786.1703917980,1,183564,1.841,-1.547,0.393,
1510928785.480,1510928786.1943931580,1,183565,1.833,-1.526,0.391,
1510928785.510,1510928786.2193944454,1,183566,1.824,-1.498,0.392,
1510928785.530,1510928786.2443959713,1,183567,1.827,-1.471,0.399,
1510928785.560,1510928786.2703974247,1,183568,1.820,-1.448,0.405,
1510928785.580,1510928786.2943987846,1,183569,1.819,-1.428,0.411,
1510928785.610,1510928786.3204002380,1,183570,1.816,-1.415,0.415,
1510928785.640,1510928786.3454017639,1,183571,1.809,-1.400,0.418,
1510928785.670,1510928786.3704030514,1,183572,1.798,-1.383,0.421,
1510928785.700,1510928786.4024050236,1,183573,1.793,-1.364,0.426,
1510928785.720,1510928786.4204058647,1,183574,1.779,-1.365,0.423,
1510928785.740,1510928786.4454076290,1,183575,1.725,-1.367,0.421,
1510928785.760,1510928786.4704089165,1,183576,1.733,-1.345,0.425,
1510928785.780,1510928786.4944102764,1,183577,1.717,-1.342,0.428,
1510928785.820,1510928786.5184116364,1,183578,1.696,-1.327,0.437,
1510928785.830,1510928786.5444130898,1,183579,1.669,-1.316,0.446,
1510928785.860,1510928786.5704147816,1,183580,1.669,-1.310,0.448,
1510928785.880,1510928786.5944159031,1,183581,1.645,-1.293,0.458,
1510928785.909,1510928786.6194174290,1,183582,1.621,-1.286,0.467,
1510928785.940,1510928786.6454188824,1,183583,1.595,-1.271,0.480,
1510928785.960,1510928786.6704204082,1,183584,1.577,-1.246,0.493,
1510928786.000,1510928786.6964218616,1,183585,1.567,-1.227,0.500,
1510928786.010,1510928786.7164230347,1,183586,1.547,-1.222,0.500,
1510928786.020,1510928786.7194230556,1,183587,1.534,-1.208,0.500,
1510928786.040,1510928786.7494246960,1,183588,1.525,-1.201,0.500,
1510928786.060,1510928786.7764263153,1,183589,1.516,-1.188,0.500,
1510928786.089,1510928786.8004276752,1,183590,1.508,-1.168,0.500,
1510928786.115,1510928786.8254292011,1,183591,1.496,-1.151,0.500,
1510928786.135,1510928786.8504307270,1,183592,1.491,-1.135,0.500,
1510928786.175,1510928786.8764321804,1,183593,1.486,-1.123,0.500,
1510928786.185,1510928786.9004335403,1,183594,1.481,-1.113,0.500,
1510928786.214,1510928786.9254348278,1,183595,1.474,-1.102,0.500,
1510928786.235,1510928786.9504363537,1,183596,1.473,-1.095,0.500,
1510928786.265,1510928786.9744377136,1,183597,1.470,-1.083,0.500,
1510928786.296,1510928786.9994392395,1,183598,1.460,-1.072,0.500,
1510928786.315,1510928787.0234405994,1,183599,1.461,-1.068,0.500,
1510928786.336,1510928787.0494418144,1,183600,1.468,-1.041,0.500,
1510928786.366,1510928787.0754435062,1,183601,1.459,-1.042,0.500,
1510928786.385,1510928787.0994446278,1,183602,1.456,-1.039,0.500,
1510928786.416,1510928787.1254463196,1,183603,1.451,-1.031,0.500,
1510928786.436,1510928787.1504478455,1,183604,1.449,-1.022,0.500,
1510928786.466,1510928787.1754491329,1,183605,1.455,-1.022,0.500,
1510928786.486,1510928787.2004506588,1,183606,1.457,-1.022,0.500,
1510928786.516,1510928787.2254519463,1,183607,1.463,-1.020,0.500,
1510928786.546,1510928787.2494535446,1,183608,1.465,-1.023,0.500,
1510928786.566,1510928787.2754549980,1,183609,1.466,-1.025,0.500,
1510928786.586,1510928787.2994563580,1,183610,1.467,-1.027,0.500,
1510928786.616,1510928787.3254580498,1,183611,1.477,-1.020,0.500,
1510928786.646,1510928787.3504590988,1,183612,1.477,-1.023,0.500,
1510928786.666,1510928787.3734605312,1,183613,1.477,-1.023,0.500,
1510928786.686,1510928787.4004621506,1,183614,1.464,-1.005,0.500,
