Time,X,Y,Z,qW,qX,qY,qZ
1510937280.168387,0.031,-0.324,0.252,0.032,0.011,-0.010,-0.999,
1510937280.177,0.030,-0.331,0.252,0.034,0.011,-0.008,-0.999,
1510937280.186,0.032,-0.339,0.252,0.028,0.010,-0.010,-1.000,
1510937280.194,0.032,-0.347,0.253,0.027,0.005,-0.010,-1.000,
1510937280.202,0.031,-0.353,0.253,0.027,0.007,-0.008,-1.000,
1510937280.211,0.032,-0.361,0.253,0.022,0.005,-0.008,-1.000,
1510937280.219,0.032,-0.367,0.253,0.024,0.006,-0.010,-1.000,
1510937280.227,0.035,-0.376,0.253,0.021,0.000,-0.016,-1.000,
1510937280.236,0.032,-0.382,0.253,0.021,0.003,-0.009,-1.000,
1510937280.244,0.034,-0.387,0.253,0.024,0.007,-0.013,-1.000,
1510937280.252,0.033,-0.395,0.253,0.019,0.005,-0.011,-1.000,
1510937280.261,0.034,-0.402,0.253,0.022,0.004,-0.014,-1.000,
1510937280.268,0.033,-0.409,0.253,0.021,0.004,-0.010,-1.000,
1510937280.277,0.032,-0.413,0.252,0.025,0.011,-0.009,-1.000,
1510937280.285,0.034,-0.421,0.252,0.023,0.009,-0.014,-1.000,
1510937280.294,0.035,-0.430,0.253,0.021,0.003,-0.015,-1.000,
1510937280.303,0.034,-0.435,0.253,0.023,0.008,-0.013,-1.000,
1510937280.311,0.034,-0.439,0.252,0.026,0.013,-0.015,-0.999,
1510937280.319,0.036,-0.447,0.252,0.024,0.012,-0.021,-0.999,
1510937280.327,0.036,-0.454,0.252,0.022,0.011,-0.019,-1.000,
1510937280.335,0.034,-0.460,0.253,0.024,0.013,-0.013,-1.000,
1510937280.344,0.035,-0.468,0.253,0.022,0.008,-0.018,-1.000,
1510937280.352,0.034,-0.475,0.253,0.024,0.009,-0.015,-1.000,
1510937280.360,0.036,-0.483,0.253,0.022,0.006,-0.019,-1.000,
1510937280.369,0.034,-0.491,0.254,0.020,0.003,-0.013,-1.000,
1510937280.376,0.035,-0.497,0.253,0.020,0.005,-0.016,-1.000,
1510937280.385,0.037,-0.502,0.253,0.020,0.009,-0.022,-1.000,
1510937280.393,0.037,-0.511,0.253,0.019,0.006,-0.021,-1.000,
1510937280.402,0.036,-0.518,0.253,0.018,0.003,-0.017,-1.000,
1510937280.410,0.036,-0.526,0.253,0.018,0.002,-0.018,-1.000,
1510937280.419,0.036,-0.532,0.253,0.016,0.002,-0.019,-1.000,
1510937280.428,0.037,-0.538,0.253,0.017,0.004,-0.020,-1.000,
1510937280.436,0.036,-0.545,0.253,0.018,0.003,-0.018,-1.000,
1510937280.445,0.038,-0.550,0.253,0.020,0.010,-0.025,-0.999,
1510937280.452,0.038,-0.557,0.253,0.019,0.007,-0.024,-1.000,
1510937280.460,0.035,-0.562,0.253,0.020,0.012,-0.018,-1.000,
1510937280.468,0.036,-0.572,0.253,0.017,0.003,-0.019,-1.000,
1510937280.477,0.035,-0.577,0.253,0.021,0.009,-0.017,-1.000,
1510937280.486,0.035,-0.582,0.252,0.024,0.012,-0.020,-0.999,
1510937280.493,0.037,-0.591,0.253,0.017,0.006,-0.022,-1.000,
1510937280.502,0.034,-0.595,0.253,0.021,0.013,-0.017,-1.000,
1510937280.510,0.037,-0.603,0.253,0.021,0.009,-0.025,-0.999,
1510937280.519,0.033,-0.607,0.253,0.023,0.018,-0.013,-0.999,
1510937280.527,0.036,-0.614,0.253,0.025,0.017,-0.022,-0.999,
1510937280.536,0.032,-0.625,0.254,0.017,0.004,-0.008,-1.000,
1510937280.544,0.036,-0.629,0.253,0.027,0.012,-0.023,-0.999,
1510937280.551,0.040,-0.636,0.253,0.025,0.010,-0.032,-0.999,
1510937280.561,0.033,-0.642,0.254,0.025,0.013,-0.013,-1.000,
1510937280.569,0.040,-0.651,0.253,0.026,0.007,-0.031,-0.999,
1510937280.577,0.039,-0.656,0.253,0.025,0.010,-0.029,-0.999,
1510937280.586,0.035,-0.662,0.254,0.024,0.013,-0.017,-0.999,
1510937280.594,0.032,-0.668,0.253,0.023,0.013,-0.014,-1.000,
1510937280.602,0.034,-0.675,0.254,0.029,0.015,-0.016,-0.999,
1510937280.610,0.034,-0.681,0.253,0.027,0.014,-0.018,-0.999,
1510937280.618,0.032,-0.690,0.254,0.024,0.009,-0.012,-1.000,
1510937280.627,0.033,-0.693,0.254,0.027,0.018,-0.014,-0.999,
1510937280.636,0.034,-0.702,0.254,0.027,0.012,-0.016,-0.999,
1510937280.644,0.034,-0.708,0.254,0.031,0.013,-0.015,-0.999,
1510937280.652,0.033,-0.714,0.255,0.029,0.016,-0.011,-0.999,
1510937280.660,0.037,-0.723,0.254,0.028,0.009,-0.025,-0.999,
1510937280.669,0.029,-0.730,0.255,0.027,0.010,-0.002,-1.000,
1510937280.678,0.035,-0.739,0.256,0.024,0.005,-0.014,-1.000,
1510937280.686,0.033,-0.741,0.254,0.035,0.014,-0.015,-0.999,
1510937280.694,0.038,-0.751,0.255,0.028,0.007,-0.024,-0.999,
1510937280.702,0.034,-0.753,0.254,0.036,0.019,-0.015,-0.999,
1510937280.710,0.033,-0.764,0.256,0.034,0.010,-0.011,-0.999,
1510937280.719,0.036,-0.768,0.254,0.035,0.015,-0.022,-0.999,
1510937280.727,0.036,-0.776,0.255,0.033,0.012,-0.018,-0.999,
1510937280.736,0.035,-0.788,0.256,0.027,-0.001,-0.014,-1.000,
1510937280.743,0.036,-0.789,0.255,0.034,0.012,-0.018,-0.999,
1510937280.752,0.035,-0.796,0.254,0.031,0.010,-0.018,-0.999,
1510937280.760,0.037,-0.805,0.256,0.032,0.007,-0.017,-0.999,
1510937280.768,0.039,-0.811,0.255,0.029,0.007,-0.027,-0.999,
1510937280.777,0.037,-0.816,0.255,0.033,0.013,-0.020,-0.999,
1510937280.786,0.037,-0.826,0.256,0.030,0.006,-0.017,-0.999,
1510937280.795,0.036,-0.831,0.256,0.027,0.008,-0.016,-0.999,
1510937280.803,0.037,-0.841,0.257,0.025,0.001,-0.016,-1.000,
1510937280.811,0.037,-0.845,0.256,0.027,0.007,-0.018,-0.999,
1510937280.819,0.034,-0.849,0.255,0.028,0.015,-0.011,-0.999,
1510937280.827,0.036,-0.856,0.254,0.033,0.014,-0.019,-0.999,
1510937280.836,0.038,-0.861,0.254,0.038,0.019,-0.022,-0.999,
1510937280.844,0.040,-0.871,0.256,0.034,0.011,-0.024,-0.999,
1510937280.852,0.036,-0.876,0.255,0.032,0.013,-0.014,-0.999,
1510937280.860,0.034,-0.884,0.255,0.030,0.008,-0.012,-0.999,
1510937280.868,0.034,-0.891,0.255,0.030,0.010,-0.011,-0.999,
1510937280.877,0.037,-0.895,0.255,0.036,0.017,-0.016,-0.999,
1510937280.886,0.037,-0.907,0.255,0.027,0.003,-0.018,-0.999,
1510937280.894,0.033,-0.912,0.256,0.028,0.007,-0.005,-1.000,
1510937280.902,0.038,-0.915,0.255,0.035,0.018,-0.020,-0.999,
1510937280.911,0.037,-0.922,0.255,0.034,0.018,-0.018,-0.999,
1510937280.919,0.035,-0.930,0.255,0.030,0.012,-0.012,-0.999,
1510937280.928,0.038,-0.935,0.255,0.035,0.018,-0.019,-0.999,
1510937280.936,0.040,-0.942,0.255,0.030,0.015,-0.024,-0.999,
1510937280.944,0.040,-0.948,0.255,0.033,0.016,-0.025,-0.999,
1510937280.952,0.037,-0.956,0.255,0.027,0.013,-0.015,-0.999,
1510937280.960,0.037,-0.963,0.256,0.028,0.014,-0.016,-0.999,
1510937280.968,0.034,-0.970,0.255,0.027,0.011,-0.009,-1.000,
1510937280.978,0.040,-0.974,0.255,0.034,0.021,-0.024,-0.999,
1510937280.986,0.038,-0.983,0.255,0.031,0.013,-0.019,-0.999,
1510937280.994,0.040,-0.989,0.255,0.033,0.016,-0.024,-0.999,
1510937281.002,0.036,-0.996,0.255,0.028,0.013,-0.014,-0.999,
1510937281.010,0.040,-1.002,0.255,0.032,0.015,-0.024,-0.999,
1510937281.018,0.038,-1.009,0.255,0.029,0.014,-0.020,-0.999,
1510937281.027,0.036,-1.016,0.255,0.028,0.014,-0.014,-0.999,
1510937281.036,0.035,-1.024,0.255,0.023,0.010,-0.014,-1.000,
1510937281.044,0.034,-1.031,0.255,0.023,0.007,-0.009,-1.000,
1510937281.053,0.035,-1.037,0.255,0.026,0.011,-0.013,-1.000,
1510937281.061,0.035,-1.045,0.255,0.026,0.007,-0.012,-1.000,
1510937281.069,0.036,-1.051,0.255,0.028,0.010,-0.014,-0.999,
1510937281.077,0.038,-1.056,0.256,0.030,0.015,-0.017,-0.999,
1510937281.085,0.037,-1.062,0.255,0.029,0.016,-0.018,-0.999,
1510937281.094,0.035,-1.069,0.255,0.025,0.012,-0.011,-1.000,
1510937281.102,0.038,-1.076,0.255,0.026,0.013,-0.020,-0.999,
1510937281.110,0.040,-1.081,0.255,0.031,0.017,-0.024,-0.999,
1510937281.118,0.038,-1.088,0.255,0.029,0.015,-0.019,-0.999,
1510937281.127,0.035,-1.096,0.255,0.026,0.012,-0.011,-1.000,
1510937281.135,0.035,-1.103,0.255,0.026,0.010,-0.012,-1.000,
1510937281.144,0.040,-1.108,0.255,0.032,0.015,-0.025,-0.999,
1510937281.151,0.039,-1.114,0.255,0.031,0.017,-0.022,-0.999,
1510937281.161,0.039,-1.122,0.256,0.030,0.013,-0.022,-0.999,
1510937281.168,0.035,-1.128,0.256,0.026,0.013,-0.011,-1.000,
1510937281.178,0.040,-1.134,0.255,0.030,0.017,-0.025,-0.999,
1510937281.186,0.039,-1.142,0.256,0.029,0.013,-0.021,-0.999,
1510937281.194,0.035,-1.149,0.256,0.026,0.009,-0.012,-1.000,
1510937281.202,0.035,-1.156,0.256,0.026,0.011,-0.010,-1.000,
1510937281.210,0.039,-1.162,0.256,0.029,0.011,-0.022,-0.999,
1510937281.218,0.037,-1.169,0.256,0.028,0.010,-0.016,-0.999,
1510937281.227,0.033,-1.176,0.255,0.026,0.008,-0.005,-1.000,
1510937281.235,0.036,-1.181,0.256,0.028,0.014,-0.014,-0.999,
1510937281.243,0.039,-1.187,0.256,0.031,0.017,-0.022,-0.999,
1510937281.252,0.034,-1.195,0.256,0.030,0.009,-0.010,-0.999,
1510937281.260,0.033,-1.203,0.256,0.025,0.007,-0.006,-1.000,
1510937281.269,0.035,-1.207,0.256,0.028,0.012,-0.011,-0.999,
1510937281.277,0.035,-1.214,0.256,0.028,0.011,-0.012,-0.999,
1510937281.286,0.034,-1.220,0.256,0.029,0.013,-0.008,-0.999,
1510937281.294,0.035,-1.226,0.256,0.029,0.015,-0.011,-0.999,
1510937281.301,0.033,-1.235,0.256,0.028,0.010,-0.005,-1.000,
1510937281.311,0.034,-1.239,0.256,0.033,0.014,-0.009,-0.999,
1510937281.319,0.034,-1.247,0.256,0.037,0.010,-0.007,-0.999,
1510937281.327,0.033,-1.255,0.256,0.037,0.005,-0.004,-0.999,
1510937281.335,0.033,-1.260,0.256,0.044,0.010,-0.004,-0.999,
1510937281.343,0.036,-1.265,0.256,0.051,0.013,-0.012,-0.999,
1510937281.352,0.035,-1.272,0.256,0.056,0.011,-0.008,-0.998,
1510937281.360,0.037,-1.277,0.257,0.066,0.015,-0.014,-0.998,
1510937281.369,0.031,-1.285,0.256,0.069,0.008,0.005,-0.998,
1510937281.377,0.034,-1.291,0.257,0.082,0.010,-0.004,-0.997,
1510937281.385,0.045,-1.299,0.256,0.090,0.001,-0.030,-0.995,
1510937281.393,0.032,-1.305,0.256,0.098,0.004,0.005,-0.995,
1510937281.401,0.036,-1.308,0.256,0.110,0.011,-0.005,-0.994,
1510937281.410,0.037,-1.314,0.256,0.118,0.010,-0.006,-0.993,
1510937281.418,0.038,-1.319,0.256,0.126,0.012,-0.006,-0.992,
1510937281.427,0.038,-1.325,0.256,0.134,0.012,-0.001,-0.991,
1510937281.436,0.040,-1.329,0.256,0.144,0.016,-0.005,-0.989,
1510937281.444,0.039,-1.333,0.257,0.154,0.017,-0.001,-0.988,
1510937281.452,0.038,-1.342,0.256,0.170,0.010,0.007,-0.985,
1510937281.460,0.045,-1.343,0.256,0.185,0.019,-0.010,-0.982,
1510937281.468,0.046,-1.348,0.256,0.192,0.020,-0.009,-0.981,
1510937281.478,0.048,-1.355,0.256,0.199,0.017,-0.009,-0.980,
1510937281.485,0.050,-1.360,0.257,0.207,0.017,-0.010,-0.978,
1510937281.493,0.051,-1.365,0.256,0.215,0.019,-0.007,-0.976,
1510937281.502,0.054,-1.369,0.257,0.226,0.019,-0.012,-0.974,
1510937281.510,0.056,-1.375,0.257,0.234,0.018,-0.013,-0.972,
1510937281.519,0.055,-1.377,0.257,0.241,0.026,-0.007,-0.970,
1510937281.527,0.054,-1.387,0.256,0.240,0.012,0.003,-0.971,
1510937281.535,0.059,-1.388,0.257,0.257,0.025,-0.006,-0.966,
1510937281.544,0.059,-1.399,0.256,0.260,0.007,0.004,-0.966,
1510937281.553,0.064,-1.397,0.257,0.273,0.026,-0.009,-0.962,
1510937281.561,0.065,-1.405,0.257,0.280,0.013,-0.003,-0.960,
1510937281.569,0.067,-1.404,0.257,0.291,0.031,-0.008,-0.956,
1510937281.577,0.069,-1.417,0.256,0.299,0.009,0.001,-0.954,
1510937281.585,0.074,-1.417,0.257,0.307,0.017,-0.009,-0.952,
1510937281.594,0.071,-1.425,0.256,0.306,0.012,0.009,-0.952,
1510937281.602,0.076,-1.431,0.256,0.315,0.006,0.005,-0.949,
1510937281.611,0.079,-1.435,0.257,0.325,0.008,0.004,-0.946,
1510937281.618,0.075,-1.441,0.255,0.333,0.008,0.024,-0.942,
1510937281.628,0.085,-1.442,0.256,0.339,0.008,0.001,-0.941,
1510937281.635,0.080,-1.449,0.254,0.354,0.008,0.025,-0.935,
1510937281.644,0.090,-1.450,0.256,0.361,0.010,0.001,-0.933,
1510937281.652,0.093,-1.454,0.256,0.370,0.009,0.002,-0.929,
1510937281.660,0.093,-1.454,0.256,0.370,0.009,0.002,-0.929,
1510937281.668,0.100,-1.460,0.257,0.379,0.014,-0.002,-0.925,
1510937281.678,0.092,-1.474,0.254,0.385,-0.001,0.038,-0.922,
1510937281.685,0.106,-1.470,0.257,0.394,0.008,0.001,-0.919,
1510937281.694,0.098,-1.481,0.254,0.403,-0.000,0.038,-0.915,
1510937281.701,0.112,-1.475,0.256,0.410,0.014,-0.003,-0.912,
1510937281.710,0.104,-1.487,0.254,0.418,0.006,0.039,-0.908,
1510937281.718,0.118,-1.481,0.257,0.420,0.018,0.000,-0.907,
1510937281.727,0.122,-1.488,0.257,0.424,0.005,0.004,-0.906,
1510937281.735,0.122,-1.491,0.256,0.435,0.012,0.010,-0.900,
1510937281.743,0.129,-1.489,0.257,0.441,0.023,-0.003,-0.897,
1510937281.752,0.132,-1.495,0.257,0.448,0.015,-0.002,-0.894,
1510937281.761,0.130,-1.503,0.255,0.456,0.009,0.020,-0.890,
1510937281.768,0.138,-1.497,0.257,0.459,0.028,-0.001,-0.888,
1510937281.777,0.136,-1.510,0.255,0.443,-0.004,0.028,-0.896,
1510937281.786,0.146,-1.504,0.258,0.469,0.025,-0.002,-0.883,
1510937281.794,0.145,-1.518,0.255,0.476,0.001,0.023,-0.879,
1510937281.803,0.145,-1.518,0.255,0.476,0.001,0.023,-0.879,
1510937281.811,0.163,-1.515,0.260,0.506,0.012,-0.017,-0.862,
1510937281.819,0.161,-1.519,0.257,0.503,0.013,-0.001,-0.864,
1510937281.828,0.145,-1.532,0.251,0.497,0.010,0.065,-0.865,
1510937281.835,0.145,-1.532,0.251,0.497,0.010,0.065,-0.865,
1510937281.843,0.152,-1.549,0.252,0.517,-0.005,0.085,-0.852,
1510937281.852,0.180,-1.527,0.258,0.533,0.012,-0.011,-0.846,
1510937281.860,0.180,-1.527,0.258,0.533,0.012,-0.011,-0.846,
1510937281.868,0.183,-1.538,0.257,0.545,0.006,0.008,-0.838,
1510937281.877,0.183,-1.538,0.257,0.545,0.006,0.008,-0.838,
1510937281.885,0.185,-1.546,0.255,0.538,-0.003,0.026,-0.842,
1510937281.893,0.196,-1.545,0.258,0.555,0.000,0.004,-0.832,
1510937281.902,0.209,-1.548,0.260,0.571,-0.013,-0.015,-0.821,
1510937281.910,0.198,-1.547,0.256,0.571,0.015,0.012,-0.821,
1510937281.918,0.215,-1.550,0.259,0.586,-0.006,-0.015,-0.810,
1510937281.928,0.218,-1.554,0.261,0.591,-0.005,-0.008,-0.807,
1510937281.936,0.220,-1.555,0.260,0.593,-0.001,-0.006,-0.805,
1510937281.944,0.216,-1.554,0.257,0.586,0.014,0.012,-0.810,
1510937281.952,0.214,-1.558,0.256,0.594,0.020,0.028,-0.804,
1510937281.960,0.225,-1.556,0.257,0.606,0.020,0.008,-0.795,
1510937281.968,0.382,-1.741,0.175,0.474,-0.639,-0.016,-0.606,
1510937281.977,0.229,-1.562,0.256,0.614,0.016,0.022,-0.788,
1510937281.985,0.249,-1.580,0.264,0.626,-0.039,0.014,-0.779,
1510937281.993,0.242,-1.569,0.259,0.620,0.006,0.022,-0.785,
1510937282.002,0.247,-1.564,0.257,0.632,0.016,0.007,-0.775,
1510937282.010,0.246,-1.567,0.256,0.632,0.018,0.023,-0.775,
1510937282.019,0.257,-1.568,0.258,0.642,0.010,0.005,-0.767,
1510937282.027,0.257,-1.567,0.256,0.649,0.022,0.009,-0.760,
1510937282.035,0.262,-1.570,0.257,0.654,0.016,0.012,-0.756,
1510937282.043,0.268,-1.572,0.257,0.655,0.011,0.013,-0.756,
1510937282.051,0.285,-1.577,0.261,0.677,-0.019,-0.010,-0.735,
1510937282.061,0.276,-1.572,0.256,0.669,0.014,0.010,-0.743,
1510937282.069,0.281,-1.574,0.257,0.679,0.011,0.008,-0.734,
1510937282.077,0.285,-1.575,0.257,0.686,0.012,0.010,-0.727,
1510937282.085,0.290,-1.576,0.257,0.692,0.008,0.010,-0.721,
1510937282.094,0.295,-1.575,0.256,0.695,0.012,0.005,-0.719,
1510937282.102,0.298,-1.577,0.257,0.697,0.010,0.011,-0.717,
1510937282.111,0.301,-1.577,0.257,0.697,0.015,0.014,-0.716,
1510937282.119,0.306,-1.577,0.256,0.701,0.016,0.013,-0.713,
1510937282.127,0.312,-1.577,0.256,0.705,0.014,0.009,-0.709,
1510937282.136,0.318,-1.577,0.256,0.708,0.010,0.005,-0.706,
1510937282.144,0.327,-1.578,0.258,0.717,0.004,-0.004,-0.697,
1510937282.151,0.327,-1.583,0.259,0.710,0.004,0.017,-0.704,
1510937282.160,0.332,-1.578,0.256,0.715,0.010,0.006,-0.699,
1510937282.168,0.335,-1.580,0.256,0.715,0.011,0.012,-0.699,
1510937282.178,0.343,-1.577,0.257,0.719,0.013,0.001,-0.695,
1510937282.186,0.349,-1.579,0.257,0.720,0.005,0.002,-0.694,
1510937282.194,0.355,-1.575,0.257,0.723,0.013,-0.010,-0.691,
1510937282.202,0.359,-1.578,0.257,0.720,0.005,-0.003,-0.694,
1510937282.210,0.362,-1.580,0.257,0.719,0.008,0.005,-0.695,
1510937282.218,0.374,-1.580,0.258,0.722,-0.005,-0.008,-0.692,
1510937282.227,0.374,-1.578,0.256,0.720,0.008,-0.002,-0.694,
1510937282.235,0.379,-1.577,0.257,0.721,0.010,-0.003,-0.693,
1510937282.243,0.382,-1.582,0.257,0.715,0.009,0.011,-0.698,
1510937282.252,0.387,-1.584,0.258,0.715,0.003,0.015,-0.699,
1510937282.261,0.402,-1.579,0.260,0.729,-0.006,-0.016,-0.684,
1510937282.269,0.401,-1.579,0.257,0.723,0.004,-0.003,-0.691,
1510937282.276,0.403,-1.581,0.257,0.716,0.009,0.009,-0.698,
1510937282.286,0.410,-1.579,0.256,0.721,0.006,0.001,-0.693,
1510937282.294,0.413,-1.579,0.255,0.723,0.008,0.004,-0.691,
1510937282.301,0.421,-1.578,0.256,0.725,0.009,-0.002,-0.689,
1510937282.311,0.426,-1.579,0.256,0.725,0.006,0.000,-0.689,
1510937282.318,0.434,-1.578,0.256,0.726,0.004,-0.007,-0.688,
1510937282.327,0.440,-1.578,0.256,0.725,0.002,-0.008,-0.688,
1510937282.335,0.443,-1.579,0.255,0.725,0.003,-0.000,-0.689,
1510937282.343,0.448,-1.578,0.255,0.725,0.010,-0.001,-0.688,
1510937282.352,0.456,-1.578,0.256,0.726,0.003,-0.007,-0.688,
1510937282.361,0.460,-1.579,0.255,0.726,0.003,-0.001,-0.688,
1510937282.368,0.464,-1.578,0.255,0.725,0.010,-0.001,-0.689,
1510937282.376,0.471,-1.578,0.255,0.725,0.005,-0.004,-0.689,
1510937282.385,0.477,-1.579,0.255,0.725,0.002,-0.002,-0.688,
1510937282.394,0.485,-1.578,0.256,0.726,0.003,-0.007,-0.688,
1510937282.402,0.489,-1.580,0.255,0.725,0.001,-0.002,-0.689,
1510937282.410,0.495,-1.579,0.255,0.725,0.002,-0.002,-0.689,
1510937282.419,0.504,-1.578,0.256,0.727,-0.003,-0.012,-0.687,
1510937282.428,0.505,-1.580,0.254,0.724,0.002,0.001,-0.690,
1510937282.436,0.511,-1.580,0.254,0.724,0.001,0.001,-0.689,
1510937282.444,0.518,-1.578,0.255,0.725,0.004,-0.005,-0.689,
1510937282.452,0.522,-1.579,0.254,0.725,0.004,0.001,-0.689,
1510937282.460,0.528,-1.579,0.254,0.724,0.005,0.001,-0.690,
1510937282.468,0.533,-1.579,0.254,0.724,0.006,0.002,-0.690,
1510937282.477,0.537,-1.581,0.253,0.722,0.004,0.011,-0.692,
1510937282.485,0.546,-1.580,0.254,0.723,0.003,0.003,-0.691,
1510937282.494,0.552,-1.579,0.254,0.725,0.005,0.001,-0.689,
1510937282.501,0.556,-1.581,0.253,0.722,0.005,0.009,-0.692,
1510937282.510,0.566,-1.579,0.254,0.725,0.001,-0.004,-0.689,
1510937282.519,0.570,-1.579,0.253,0.724,0.004,0.001,-0.690,
1510937282.527,0.576,-1.580,0.253,0.723,0.003,0.001,-0.691,
1510937282.537,0.585,-1.578,0.254,0.725,0.001,-0.005,-0.689,
1510937282.543,0.590,-1.578,0.253,0.724,0.004,-0.003,-0.689,
1510937282.553,0.596,-1.579,0.253,0.722,0.003,-0.003,-0.692,
1510937282.561,0.600,-1.578,0.253,0.722,0.007,-0.000,-0.692,
1510937282.569,0.607,-1.579,0.253,0.722,0.005,-0.001,-0.692,
1510937282.577,0.612,-1.580,0.253,0.722,0.005,0.005,-0.692,
1510937282.585,0.621,-1.579,0.253,0.723,0.001,-0.003,-0.691,
1510937282.594,0.626,-1.580,0.253,0.720,0.003,0.002,-0.694,
1510937282.602,0.629,-1.580,0.252,0.720,0.006,0.008,-0.694,
1510937282.610,0.638,-1.579,0.253,0.722,0.004,0.000,-0.692,
1510937282.618,0.644,-1.577,0.253,0.722,0.009,-0.003,-0.692,
1510937282.626,0.652,-1.576,0.253,0.723,0.006,-0.008,-0.690,
1510937282.635,0.655,-1.578,0.252,0.721,0.009,0.001,-0.693,
1510937282.644,0.661,-1.579,0.252,0.721,0.009,0.004,-0.693,
1510937282.652,0.668,-1.577,0.252,0.720,0.010,-0.001,-0.694,
1510937282.660,0.674,-1.577,0.252,0.720,0.011,-0.002,-0.694,
1510937282.668,0.681,-1.577,0.252,0.720,0.010,-0.003,-0.694,
1510937282.677,0.687,-1.577,0.252,0.720,0.010,0.000,-0.694,
1510937282.686,0.695,-1.577,0.252,0.719,0.008,-0.003,-0.695,
1510937282.694,0.700,-1.578,0.252,0.721,0.008,0.001,-0.693,
1510937282.702,0.706,-1.576,0.252,0.720,0.012,-0.002,-0.694,
1510937282.710,0.714,-1.576,0.252,0.719,0.009,-0.004,-0.695,
1510937282.718,0.718,-1.577,0.252,0.720,0.011,-0.001,-0.694,
1510937282.727,0.725,-1.577,0.252,0.720,0.009,-0.000,-0.694,
1510937282.735,0.732,-1.576,0.252,0.719,0.010,-0.005,-0.695,
1510937282.744,0.740,-1.575,0.252,0.719,0.011,-0.008,-0.695,
1510937282.752,0.745,-1.576,0.252,0.718,0.010,-0.003,-0.696,
1510937282.760,0.751,-1.577,0.251,0.719,0.009,-0.001,-0.695,
1510937282.768,0.757,-1.576,0.252,0.718,0.012,-0.003,-0.696,
1510937282.777,0.764,-1.575,0.252,0.720,0.012,-0.006,-0.694,
1510937282.785,0.770,-1.575,0.251,0.718,0.012,-0.005,-0.696,
1510937282.794,0.776,-1.576,0.251,0.718,0.012,-0.003,-0.696,
1510937282.801,0.783,-1.578,0.251,0.719,0.009,0.000,-0.694,
1510937282.811,0.789,-1.575,0.251,0.719,0.014,-0.005,-0.695,
1510937282.819,0.794,-1.577,0.251,0.720,0.012,0.001,-0.694,
1510937282.827,0.800,-1.576,0.251,0.719,0.014,-0.002,-0.695,
1510937282.835,0.807,-1.576,0.251,0.719,0.014,-0.002,-0.695,
1510937282.844,0.813,-1.577,0.251,0.718,0.013,0.000,-0.696,
1510937282.852,0.821,-1.576,0.251,0.719,0.010,-0.005,-0.695,
1510937282.860,0.826,-1.576,0.251,0.720,0.015,-0.003,-0.694,
1510937282.869,0.834,-1.575,0.251,0.720,0.013,-0.007,-0.694,
1510937282.877,0.841,-1.575,0.250,0.720,0.011,-0.009,-0.694,
1510937282.885,0.845,-1.577,0.250,0.720,0.013,-0.001,-0.694,
1510937282.894,0.851,-1.577,0.251,0.720,0.013,-0.000,-0.694,
1510937282.901,0.859,-1.576,0.251,0.719,0.013,-0.007,-0.695,
1510937282.910,0.866,-1.576,0.251,0.719,0.012,-0.007,-0.695,
1510937282.918,0.871,-1.576,0.250,0.719,0.015,-0.004,-0.695,
1510937282.928,0.879,-1.576,0.251,0.720,0.012,-0.008,-0.694,
1510937282.936,0.883,-1.576,0.250,0.720,0.016,-0.003,-0.694,
1510937282.944,0.888,-1.577,0.250,0.719,0.016,0.001,-0.694,
1510937282.952,0.898,-1.578,0.251,0.720,0.006,-0.003,-0.694,
1510937282.960,0.903,-1.576,0.250,0.719,0.015,-0.005,-0.694,
1510937282.969,0.910,-1.577,0.250,0.721,0.011,-0.005,-0.693,
1510937282.977,0.916,-1.576,0.250,0.719,0.014,-0.005,-0.694,
1510937282.985,0.922,-1.577,0.250,0.720,0.014,-0.003,-0.694,
1510937282.994,0.927,-1.578,0.250,0.720,0.015,0.001,-0.694,
1510937283.001,0.936,-1.577,0.251,0.722,0.010,-0.005,-0.692,
1510937283.011,0.941,-1.579,0.250,0.721,0.011,0.001,-0.693,
1510937283.018,0.948,-1.576,0.250,0.722,0.014,-0.007,-0.692,
1510937283.027,0.954,-1.577,0.250,0.721,0.013,-0.005,-0.693,
1510937283.035,0.960,-1.578,0.250,0.721,0.012,-0.001,-0.693,
1510937283.044,0.967,-1.578,0.250,0.721,0.012,-0.002,-0.693,
1510937283.052,0.975,-1.577,0.250,0.722,0.010,-0.007,-0.692,
1510937283.061,0.981,-1.577,0.250,0.721,0.011,-0.008,-0.692,
1510937283.069,0.988,-1.576,0.250,0.721,0.011,-0.010,-0.692,
1510937283.077,0.994,-1.578,0.250,0.722,0.009,-0.005,-0.692,
1510937283.086,1.000,-1.578,0.250,0.722,0.010,-0.005,-0.692,
1510937283.093,1.008,-1.577,0.250,0.722,0.008,-0.010,-0.692,
1510937283.101,1.014,-1.577,0.250,0.722,0.010,-0.010,-0.692,
1510937283.110,1.021,-1.578,0.250,0.721,0.008,-0.008,-0.692,
1510937283.118,1.027,-1.578,0.250,0.722,0.009,-0.008,-0.692,
1510937283.127,1.033,-1.577,0.250,0.720,0.012,-0.008,-0.693,
1510937283.135,1.040,-1.578,0.250,0.721,0.009,-0.007,-0.693,
1510937283.144,1.046,-1.576,0.249,0.721,0.013,-0.010,-0.693,
1510937283.151,1.053,-1.578,0.249,0.720,0.011,-0.007,-0.693,
1510937283.160,1.059,-1.577,0.249,0.720,0.013,-0.008,-0.694,
