Time,Time_ubisense,txeui,seq,X,Y,Z
1510937282.087,1510937282.9412732124,1,209272,0.255,-1.538,0.500,
1510937282.117,1510937282.9662747383,1,209273,0.249,-1.541,0.500,
1510937282.138,1510937282.9892761707,1,209274,0.254,-1.545,0.500,
1510937282.167,1510937283.0142774582,1,209275,0.258,-1.543,0.500,
1510937282.187,1510937283.0402791500,1,209276,0.265,-1.538,0.500,
1510937282.217,1510937283.0652804375,1,209277,0.268,-1.539,0.500,
1510937282.237,1510937283.0822815895,1,209278,0.276,-1.535,0.500,
1510937282.267,1510937283.1162834167,1,209279,0.279,-1.538,0.500,
1510937282.288,1510937283.1402847767,1,209280,0.291,-1.541,0.500,
1510937282.318,1510937283.1652860641,1,209281,0.317,-1.537,0.500,
1510937282.337,1510937283.1912875175,1,209282,0.331,-1.534,0.497,
1510937282.367,1510937283.2162890434,1,209283,0.343,-1.538,0.497,
1510937282.387,1510937283.2412905693,1,209284,0.359,-1.532,0.497,
1510937282.417,1510937283.2662918568,1,209285,0.375,-1.539,0.500,
1510937282.437,1510937283.2912933826,1,209286,0.382,-1.533,0.500,
1510937282.467,1510937283.3162946701,1,209287,0.404,-1.520,0.499,
1510937282.487,1510937283.3402960300,1,209288,0.424,-1.520,0.500,
1510937282.517,1510937283.3652975559,1,209289,0.435,-1.523,0.498,
1510937282.537,1510937283.3912992477,1,209290,0.467,-1.545,0.500,
1510937282.567,1510937283.4143004417,1,209291,0.466,-1.546,0.500,
1510937282.587,1510937283.4413018227,1,209292,0.490,-1.560,0.500,
1510937282.617,1510937283.4653034210,1,209293,0.510,-1.568,0.500,
1510937282.637,1510937283.4913046360,1,209294,0.533,-1.572,0.500,
1510937282.667,1510937283.5153062344,1,209295,0.548,-1.573,0.500,
1510937282.687,1510937283.5403075218,1,209296,0.560,-1.570,0.500,
1510937282.717,1510937283.5663092136,1,209297,0.588,-1.575,0.500,
1510937282.737,1510937283.5893104076,1,209298,0.619,-1.561,0.500,
1510937282.767,1510937283.6163120270,1,209299,0.646,-1.578,0.500,
1510937282.788,1510937283.6393132210,1,209300,0.654,-1.567,0.500,
1510937282.817,1510937283.6643147469,1,209301,0.663,-1.557,0.500,
1510937282.838,1510937283.6903164387,1,209302,0.700,-1.548,0.500,
1510937282.868,1510937283.7153174877,1,209303,0.740,-1.568,0.500,
1510937282.889,1510937283.7393190861,1,209304,0.772,-1.555,0.500,
1510937282.928,1510937283.7653205395,1,209305,0.795,-1.548,0.500,
1510937282.938,1510937283.7853214741,1,209306,0.819,-1.543,0.500,
1510937282.948,1510937283.7963223457,1,209307,0.846,-1.535,0.500,
1510937282.978,1510937283.8213236332,1,209308,0.869,-1.553,0.500,
1510937282.998,1510937283.8443250656,1,209309,0.897,-1.540,0.500,
1510937283.018,1510937283.8703265190,1,209310,0.909,-1.542,0.500,
1510937283.058,1510937283.8953280449,1,209311,0.926,-1.537,0.500,
1510937283.078,1510937283.9203293324,1,209312,0.940,-1.545,0.500,
1510937283.098,1510937283.9463307858,1,209313,0.954,-1.552,0.500,
1510937283.118,1510937283.9703323841,1,209314,0.980,-1.542,0.500,
1510937283.148,1510937283.9953334332,1,209315,0.984,-1.544,0.500,
1510937283.178,1510937284.0193350315,1,209316,0.991,-1.547,0.500,
1510937283.198,1510937284.0453364849,1,209317,1.009,-1.543,0.500,
1510937283.218,1510937284.0703380108,1,209318,1.023,-1.536,0.500,
1510937283.249,1510937284.0933392048,1,209319,1.023,-1.536,0.500,
1510937283.268,1510937284.1213407516,1,209320,1.049,-1.532,0.500,
1510937283.298,1510937284.1453423500,1,209321,1.062,-1.531,0.500,
1510937283.319,1510937284.1723437309,1,209322,1.082,-1.521,0.500,
1510937283.348,1510937284.1953451633,1,209323,1.102,-1.515,0.500,
1510937283.368,1510937284.2173464298,1,209324,1.102,-1.515,0.500,
1510937283.398,1510937284.2443480492,1,209325,1.127,-1.529,0.500,
1510937283.418,1510937284.2693493366,1,209326,1.146,-1.534,0.500,
1510937283.448,1510937284.2953507900,1,209327,1.178,-1.517,0.500,
1510937283.468,1510937284.3203523159,1,209328,1.200,-1.527,0.500,
1510937283.499,1510937284.3443534374,1,209329,1.205,-1.521,0.500,
1510937283.529,1510937284.3703551292,1,209330,1.225,-1.516,0.500,
1510937283.548,1510937284.3963565826,1,209331,1.235,-1.539,0.500,
1510937283.569,1510937284.4203579426,1,209332,1.258,-1.550,0.500,
1510937283.598,1510937284.4443593025,1,209333,1.284,-1.539,0.500,
1510937283.618,1510937284.4703607559,1,209334,1.299,-1.542,0.500,
1510937283.648,1510937284.4953622818,1,209335,1.329,-1.551,0.500,
1510937283.668,1510937284.5203635693,1,209336,1.347,-1.547,0.500,
1510937283.698,1510937284.5463650227,1,209337,1.388,-1.554,0.500,
1510937283.728,1510937284.5693662167,1,209338,1.417,-1.549,0.500,
1510937283.749,1510937284.5963678360,1,209339,1.433,-1.537,0.500,
1510937283.768,1510937284.6203694344,1,209340,1.481,-1.550,0.500,
1510937283.798,1510937284.6453707218,1,209341,1.525,-1.559,0.500,
1510937283.819,1510937284.6703722477,1,209342,1.526,-1.535,0.500,
1510937283.858,1510937284.6953737736,1,209343,1.555,-1.545,0.500,
1510937283.868,1510937284.7203750610,1,209344,1.582,-1.549,0.500,
1510937283.898,1510937284.7453765869,1,209345,1.609,-1.555,0.500,
1510937283.918,1510937284.7703778744,1,209346,1.639,-1.556,0.500,
1510937283.948,1510937284.7953796387,1,209347,1.639,-1.531,0.500,
1510937283.968,1510937284.8183808327,1,209348,1.639,-1.531,0.500,
1510937283.999,1510937284.8453822136,1,209349,1.678,-1.537,0.500,
1510937284.018,1510937284.8703837395,1,209350,1.710,-1.531,0.500,
1510937284.048,1510937284.8953850269,1,209351,1.734,-1.516,0.500,
1510937284.078,1510937284.9253866673,1,209352,1.751,-1.509,0.500,
